SMILES,DC_exp
OCC1CCCO1,13.48
OCCCCC(O)CO,29.767996321249996
OCCCCCO,25.53042359572501
OCCCCO,31.87965580200001
OCCCO,34.304333041350006
OCCCc1ccccc1,11.424512082074983
OCCO,40.24549561017503
OCCOCCO,30.92485142452498
OCCOCCOCCO,23.04654552195
OCCOCCOCCOCCO,19.896522831024992
OCCc1ccccc1,11.522884533599992
OCc1ccccc1,11.916
OCc1ccco1,16.85
Oc1ccccc1,12.4
c1ccc(COCc2ccccc2)cc1,3.781576828125
c1ccc(Cc2ccccc2)cc1,2.54
c1ccc2c(c1)CCCC2,2.7712880152107497
c1ccccc1,2.27061613554175
c1ccoc1,2.9535
OCC(O)C(O)CO,29.2
COC(=O)c1ccco1,11.01
C=CC=CC=C,2.276
CC1CCC(C)O1,5.03
CC1OC(C)OC(C)O1,14.005833333333335
CCOC(C)(C)C,7.07
CCCCOCCO,9.365
CCC(O)OC(O)CC,20.38
CC(=O)OCc1ccco1,5.85
CCOC(=O)c1ccco1,9.02
CC(=O)OCC1CCCO1,9.65
CC(=O)OCC(O)COC(C)=O,9.468333333333334
C=CC(CC)CC,2.051
CCCC(C)(C)C(=O)O,2.58
CC(=O)c1ccccc1O,19.685
CCCOC(=O)c1ccco1,8.37
CCC(=O)OCc1ccco1,5.45
CCC(=O)OCC1CCCO1,8.7
CC(=O)OC(C)C(C)OC(C)=O,6.644
CC(C)=CC(C)(C)C,2.0908
CCCC(CO)C(C)C,8.5
CC(C)C(CO)C(C)C,9.83
COC(=O)Cc1ccccc1,5.3
CCCC(=O)OCc1ccco1,4.93
CCCCOC(=O)c1ccco1,7.62
CCCC(=O)OCC1CCCO1,8.13
CCC=C(CC)CCC,2.475
CC(C)=CCCC(C)C,2.606
CCC(C)=CCC(C)C,2.343
CCCCC(C)(CC)C(=O)O,2.7
CCCC(CCC)CC(=O)O,2.38
CCC(C)C(C)C(C)C(=O)O,3.4
CC(C)CC(C)C(C)C(=O)O,2.6
Oc1ccc2c(c1)CCCC2,11.7
CCC(C)c1ccc(O)cc1,8.1
CCCCCOC(=O)c1ccco1,6.97
CCCCC(=O)OCc1ccco1,4.73
CC=C(C)C=CC=C(C)C,2.5574
CC1=CCC2C(C1)C2(C)C,2.1988
CCCOC(=O)C1CCCCC1,4.44
C=CC(C)(O)CCC1OC1(C)C,5.78
CCCCCCC(C)OC(C)=O,4.1307
OCCOCCOCCOCCOCCO,18.18
Cc1cccc(C(C)(C)C)c1,2.33
Cc1ccc(C(C)(C)C)cc1,2.25
CCCCCC(=O)OCc1ccco1,4.54
CCCCCCOC(=O)c1ccco1,6.4
CCCCOC(=O)C1CCCCC1,4.26
CCCCC(=O)OC1CCCCC1,4.32
CCCCCC(=O)OCC1CCCO1,6.684
CCCCCCCCCC(=O)OC,3.785
CCCCCCCC(O)C(C)C(=O)O,5.5
c1ccc(Oc2ccccc2)cc1,3.6669475
CCCCCC(=O)Oc1ccccc1,4.1
CCCCCCCOC(=O)c1ccco1,5.8
CCCCCCC(=O)OCc1ccco1,4.28
CCCCCC#CCCCCC,2.171
CCCCCC(=O)OC1CCCCC1,4.15
CCCCCOC(=O)C1CCCCC1,4.1
CCCCCCC(=O)OCC1CCCO1,6.33
CC(C)CCCC(C)CCCC(=O)O,3.0
CCCCCCCCC(C)(C)CO,3.27
OCCOCCOCCOCCOCCOCCO,16.0
CCCCOC(=O)C=Cc1ccccc1,5.13
CCCCCCC(=O)Oc1ccccc1,3.9
CCCCCOC(=O)Cc1ccccc1,4.48
CCCCCCCC(=O)OCc1ccco1,4.02
CCCCCCCCOC(=O)c1ccco1,5.67
CCCCCCOC(=O)C1CCCCC1,3.94
CCCCCCC(=O)OC1CCCCC1,3.95
CCCCCCCC(=O)OCC1CCCO1,5.89
CCCCCCCCCC(C)(C)C(=O)O,2.76
CC(C)CCCC(C)CCC(C)C(=O)O,5.895
Cc1cccc(-c2cccc(C)c2)c1,2.519
CCCCCC(C=O)=Cc1ccccc1,11.0
CCCCCCCOC(=O)c1ccccc1,4.5
CCCCCCCC(=O)Oc1ccccc1,3.72
CCCCCCCC(=O)OC1CCCCC1,3.7
CCCCCCCOC(=O)C1CCCCC1,3.82
CCCCCCCCC(=O)OCC1CCCO1,5.67
CCCCCCCCCCCC(=O)OCC,3.51
OCCOCCOCCOCCOCCOCCOCCO,14.85
O=C(Cc1ccccc1)OCc1ccccc1,4.54
CCCCCCOC(=O)C=Cc1ccccc1,4.73
CCCCCCCCOC(=O)c1ccccc1,4.34
CCCCCCCCCCOC(=O)c1ccco1,4.93
CCCCCCCCOC(=O)C1CCCCC1,3.7
CCCCCCCCCC(=O)OCC1CCCO1,5.35
CCCCCCCOC(=O)C=Cc1ccccc1,4.58
CCCCCCCCCOC(=O)c1ccccc1,4.2
CCCCCCCCCC(=O)Oc1ccccc1,3.52
CCCCCCCCCOC(=O)C1CCCCC1,3.6
CCCCCCCCCC(=O)OC1CCCCC1,3.7
CCCCCCCCCCC(=O)OC1(C)CCCO1,5.15
CCCCCCCCCCCCCCOC(C)=O,3.41
CCCCCC(CCCCC)CCCCC,2.054
CCCCOCCOCCOCCOCCOCCCC,5.15
CCCCCCCCOC(=O)C=Cc1ccccc1,4.38
CCCCCCCCCCOC(=O)c1ccccc1,4.05
CCCCCCCCCCOC(=O)C1CCCCC1,3.52
CCCCCCCCCCCC(=O)OCC1CCCO1,4.88
CCCCCCCCCCCCOC(=O)c1ccccc1,3.9
