SMILES,name,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK
CC(C)C(CO)(CO)[N+](=O)[O-],"1,3-propanediol, 2-(1-methylethyl)-2-nitro-",0.168544,0.167009255,0.165491925,0.163993225,0.162513895,0.161053195,0.15961218,0.158190165,0.156786835,0.15540182,0.154034
CCCC(CO)(CO)[N+](=O)[O-],"2-nitro-2-propyl-1,3-propanediol",0.179134,0.17734945,0.175586695,0.17384757,0.172132815,0.170441375,0.16877362,0.16712918,0.165508425,0.16391067,0.162334
O=C1NC(=O)C2C3C=CC(C3)C12,"4,7-methano-1H-isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-, (3a.alpha.,4.alpha.,7.alpha,7a.alpha",0.255481,0.25277884,0.250134685,0.247551955,0.245027225,0.242558605,0.24014167,0.23777416,0.235452335,0.23317425,0.230932
CC(=Cc1ccccc1)[N+](=O)[O-],"benzene, (2-nitro-1-propenyl)-",0.151058,0.1500367,0.14901796,0.148002275,0.14698759,0.14597359,0.14495959,0.143944645,0.142927015,0.14190707,0.140884
CC(=O)C(C)Nc1ccccc1,methylphenylaminopropanone,0.172197,0.170603205,0.16900989,0.16741526,0.165818,0.164215795,0.16260596,0.16098681,0.159356715,0.157713305,0.156057
CC(=O)Nc1ccc(C)cc1C,"acetamide, N-(2,4-dimethylphenyl)-",0.177196,0.17562182,0.174050135,0.172479135,0.17090719,0.169332245,0.16775367,0.166169465,0.16457763,0.16297648,0.161366
CCc1ccc(NC(C)=O)cc1,N-(4-ethylphenyl)acetamide,0.192684,0.19061425,0.18857559,0.18657104,0.184596175,0.18264905,0.1807262949999999,0.17882528,0.176942635,0.175076045,0.173221
CCc1ccccc1NC(C)=O,2-ethylacetanilide,0.200298,0.197808675,0.195371,0.19298675,0.190651555,0.188361785,0.186112755,0.18390078,0.181721915,0.1795707899999999,0.177442
CN(C)CC(=O)c1ccccc1,2-(dimethylamino)-1-phenylethanone,0.168435,0.166945965,0.1654566499999999,0.163965705,0.162471445,0.160972555,0.15946735,0.1579542,0.15643042,0.15489464,0.153348
c1ccc(C2NCCCO2)cc1,"2H-1,3-Oxazine, tetrahydro-2-phenyl-",0.219421,0.217410535,0.21539859,0.2133833299999999,0.21136281,0.20933366,0.20729388,0.20524084,0.203171485,0.201084185,0.198979
CCN(CC)c1cccc(C)c1,"m-toluidine, N,N,-diethyl-",0.129889,0.128595075,0.1272991299999999,0.1259998699999999,0.12469598,0.123385145,0.12206531,0.120735215,0.11939212,0.118035395,0.116664
