SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
C=CC(=O)OC(C)CCCCC,"acrylic acid, 1-methylhexyl ester",3.581,2.88,2.337,1.926,1.611,1.364,1.169,1.012,0.886,0.782,0.694
CCCC(=O)OC1CCCCC1,"butanoic acid, cyclohexyl ester",4.21,3.402,2.802,2.362,2.028,1.767,1.559,1.389,1.248,1.129,1.026
CCOC(=O)[C@H]1CC[C@@H](C)CC1,cis-1-ethoxycarbonyl-4-methylcyclohexane,3.038,2.485,2.068,1.756,1.516,1.327,1.174,1.049,0.945,0.857,0.78
CCC=CCCOC(=O)C(C)C,cis-3-hexenyl isobutyrate,1.745,1.418,1.174,0.994,0.859,0.754,0.671,0.604,0.549,0.504,0.466
CCCOC(=O)C1CCCCC1,propyl cyclohexanecarboxylate,4.278,3.465,2.856,2.405,2.061,1.792,1.577,1.401,1.256,1.134,1.028
CC(C)C(=O)CC(=O)C(C)(C)C,"2,2,6-trimethyl-3,5-heptanedione",4.696,3.757,3.049,2.523,2.122,1.81,1.564,1.365,1.203,1.069,0.955
CC(=O)OCCC1CCCCC1,cyclohexylethyl acetate,5.235,4.022,3.152,2.542,2.101,1.774,1.527,1.335,1.185,1.065,0.966
C=CC(=O)OCCCCCCC,heptyl 2-propenoate,2.758,2.263,1.883,1.595,1.371,1.193,1.05,0.932,0.835,0.753,0.682
CCCCCC1CCCC(=O)O1,tetrahydro-6-pentyl-2H-pyran-2-one,7.547,6.011,4.87,4.033,3.401,2.912,2.525,2.213,1.958,1.747,1.567
CC(C)C(O)=CC(=O)C(C)(C)C,"3-hydroxy-2,6,6-trimethyl-3-hepten-5-one",178.525,115.312,75.049,50.395,34.805,24.657,17.874,13.231,9.983,7.664,5.932
CCOC(=O)[C@H]1CC[C@H](C)CC1,trans-1-ethoxycarbonyl-4-methylcyclohexane,3.038,2.485,2.068,1.756,1.516,1.327,1.174,1.049,0.945,0.857,0.78
CCCCCC/C=C\CC(=O)O,"3-decenoic acid, (Z)-",15.47,11.916,9.271,7.35,5.927,4.852,4.028,3.386,2.879,2.473,2.138
C/C=C/OC(O/C=C/C)C(C)C,"(E,E)-1,1-bis(1-propenoxy)-2-methylpropane",3.826,3.088,2.516,2.083,1.749,1.487,1.28,1.113,0.977,0.866,0.771
CCCCCC/C=C/C(=O)OC,"2-nonenoic acid, methyl ester",5.02,3.76,2.913,2.349,1.953,1.664,1.444,1.271,1.132,1.018,0.92
C/C=C\OC(O/C=C/C)C(C)C,"(Z,E)-1,1-bis(1-propenoxy)-2-methylpropane",3.826,3.088,2.516,2.083,1.749,1.487,1.28,1.113,0.977,0.866,0.771
