SMILES,name,search_name,priority,density_40C_g_cm3,density_100C_g_cm3,kv_40C_cSt,kv_100C_cSt,tc_40C_W_mK,tc_100C_W_mK,cp_40C_J_K_mol,cp_100C_J_K_mol,cpsat_40C_J_K_mol,cpsat_100C_J_K_mol,mp_K,bp_K,fp_K,exact_temp_40C_K,exact_temp_100C_K,notes,MolWt,FOM1_ig_40,FOM1_ig_100,FOM1_sat_40,FOM1_sat_100
,2-ethyl-3-oxohexanoic acid ethyl ester,2-ethyl-3-oxohexanoic acid ethyl ester,0,1.08,1.02,3.611,1.275,0.169,0.157,263.0,301.0,377.0,404.0,,522.0,,313.15,373.15,wtt_bulk_complete+cpsat2,186.251,72.79078018770086,96.10701320223488,80.55038936059775,104.40214061162472
,"butyric acid, 4-methyl-2-pentanone-4-ol ester","butyric acid, 4-methyl-2-pentanone-4-ol ester",0,0.9368,0.8779,3.202,1.128,0.154,0.141,263.0,302.0,376.0,405.0,,471.4,,313.15,373.15,wtt_bulk_complete+cpsat2,186.251,70.06327283517608,91.68872326956593,77.47421940731402,99.57884172368075
,ethyl diethylacetoacetate,ethyl diethylacetoacetate,0,0.9515,0.8968,2.501,1.293,0.155,0.144,263.0,302.0,375.0,403.0,,491.2,,313.15,373.15,wtt_bulk_complete+cpsat2,186.251,73.90242856446632,87.73473312086927,81.65826606831102,95.1519988205616
CC(C)(C)C(=O)OC(=O)C(C)(C)C,trimethylacetic anhydride,trimethylacetic anhydride,0,0.906,0.851,3.532,1.222,0.135,0.125,264.0,304.0,349.5,383.9,,468.535,,313.15,373.15,wtt_bulk_complete+cpsat2,186.251,60.883720069942626,80.79412336724494,65.88335209397415,86.2756001468196
O=C(O)CCCCCCCCC(=O)O,"1,10-decanedioic acid","1,10-decanedioic acid",0,,,,,,,274.0,312.0,,,,647.0,,313.15,373.15,wtt_bulk_partial_2of8,202.25,,,,
CCCC(=O)OCCOC(=O)CCC,"1,2-ethanediol dibutanoate","1,2-ethanediol dibutanoate",0,0.9824,0.928,3.054,1.185,0.162,0.15,268.0,309.0,387.3,418.0,,512.0,,313.15,373.15,wtt_bulk_complete+cpsat2,202.25,70.72984067383739,90.91357091533918,78.44876719462674,98.9783669713945
,"1,8-octanediyl diformate","1,8-octanediyl diformate",0,1.14,1.08,5.088,1.944,0.201,0.187,287.0,321.0,442.0,459.0,,534.0,,313.15,373.15,wtt_bulk_complete+cpsat2,202.25,74.97406190807943,96.29322377115368,84.65763801355978,106.48385598438163
,"2,2,5,5-tetramethyl-2,3-hexanedione","2,2,5,5-tetramethyl-2,3-hexanedione",0,,,,,,,,,,,,,,313.15,373.15,wtt_bulk_no_props,170.25199999999998,,,,
C=COCCOCCOCCOC=C,"3,6,9,12-tetraoxatetradeca-1,13-diene","3,6,9,12-tetraoxatetradeca-1,13-diene",0,1.093,1.037,2.745,1.244,0.204,0.191,290.0,321.0,415.0,433.0,,531.1,,313.15,373.15,wtt_bulk_complete+cpsat2,202.25,88.66795600497406,108.72025825630458,98.07336347812522,118.27001584269038
CC(C)OC(=O)CCC(=O)OC(C)C,bis(1-methylethyl) butanedioate,bis(1-methylethyl) butanedioate,0,,,,,0.148,0.137,268.0,311.0,380.0,412.0,,497.5,,313.15,373.15,wtt_bulk_partial_4of8+cpsat2,202.25,,,,
